id,longitude,latitude,street
102,28.1527803,53.506761,Manitowish
103,108.980102,34.909793,Hintze
104,45.044839,43.3213308,Northview
105,25.8255575,-17.9318052,Schlimgen
106,44.1103116,40.8328514,Golden Leaf
107,106.9123883,-6.1872497,Butternut
108,109.62866,30.2785,Huxley
109,63.6850141,58.041296,Rigney
110,123.1721164,9.9296381,Lakewood
111,119.8245506,-3.3226005,Sutherland
112,128.4136847,50.9076315,Roxbury
113,123.017079,13.658247,Crescent Oaks
114,101.1064003,4.6096768,Sugar
115,107.7843483,-7.0631844,Kipling
116,99.0626377,2.965147,Morrow
117,-7.9261469,37.0177329,Sloan
118,121.0162168,14.6927715,Pine View
119,-28.0339781,38.6152027,Stephen
120,44.6019551,25.1858677,Talisman
121,127.6904441,26.1045921,Victoria
122,135.7683696,34.8148172,Algoma
123,39.6285874,-10.8416198,Fairview
124,-8.5624704,41.6409278,Oak Valley
125,121.0360943,14.4290353,Ronald Regan
126,121.0441201,14.4712676,Corben
127,112.6211111,-7.6155556,Schurz
128,-80.4270885,-3.5564921,Burning Wood
129,5.3087356,60.4605793,Ridge Oak
130,87.1321485,52.2467948,Barnett
131,104.38784,31.121606,Truax
132,-39.3121233,-7.2284727,Rigney
133,-2.1336267,49.2059545,Sunnyside
134,15.3266695,49.3203637,Everett
135,-76.9970692,-11.9417972,Thackeray
136,-157.7019881,21.2962334,Gale
137,114.090867,40.420237,Ryan
138,7.7342943,48.5851876,Hermina
139,55.2828404,-21.0504707,2nd
140,112.7657727,-7.2792087,Lyons
141,-171.9596279,-13.8223647,Luster
142,-114.0979947,52.3076201,Garrison
143,-9.1028729,39.5016783,Maryland
144,122.830067,14.156592,American
145,114.375743,30.882557,Buhler
146,18.270174,49.9260217,Lake View
147,117.500558,40.417358,Bonner
148,24.3454482,50.0994726,Lighthouse Bay
149,-42.5117238,-5.0175431,Moulton
150,118.675675,24.874132,Bayside
151,116.546998,28.369399,Stone Corner
152,-8.4661017,40.8253148,Forest
153,-69.6840125,-15.7725451,Union
154,118.71899,24.880992,Mcbride
155,117.393358,31.211077,Garrison
156,108.2970692,-6.3398714,Bayside
157,-80.2454223,25.728011,Cambridge
158,20.275033,53.8298337,Debra
159,117.135488,39.224791,Bellgrove
160,-67.0464591,-18.7942434,Memorial
161,113.190869,22.613406,Autumn Leaf
162,120.663064,28.01082,Judy
163,122.762485,63.897847,David
164,112.989854,28.112525,Randy
165,17.82264,52.56166,Mariners Cove
166,105.011894,34.563589,Annamark
167,34.6341859,47.5015067,Duke
168,104.5917494,20.5200611,Mccormick
169,56.3712327,36.9635917,Gina
170,101.7178316,3.1523104,Corben
171,106.7692013,10.9155965,Vermont
172,139.659239,36.0174073,Michigan
173,30.4729492,59.7591906,Eliot
174,25.8640062,-24.8705652,Vernon
175,9.7846002,37.1432384,Blackbird
176,121.429477,29.287939,Fremont
177,101.765843,36.628305,Leroy
178,131.124079,45.260412,West
179,-71.4091563,-14.1387292,Crescent Oaks
180,-87.8991514,13.6216631,Golf Course
181,16.5529968,59.3703069,Garrison
182,-64.325272,-23.144255,Oakridge
183,37.0990498,9.5646371,Loomis
184,19.82111,40.96778,Blue Bill Park
185,149.3023702,6.6885285,Springview
186,5.3185835,60.3882249,Columbus
187,16.0279817,56.7813252,Merchant
188,-73.393617,7.761063,Carberry
189,-87.3478243,39.4596137,Merchant
190,120.972283,13.874099,Kropf
191,114.131764,22.54817,Bay
192,-97.52,35.46,Mayfield
193,16.9050077,49.7647258,Sycamore
194,114.0643,-7.7169,Nobel
195,-54.9697212,-20.9306687,Westridge
196,-43.7764925,-21.2399347,Granby
197,-0.4928359,46.823629,Spaight
198,87.2817272,26.7943861,Hoepker
199,17.0509784,59.6189852,Bunting
200,21.426297,40.9905239,Acker
201,148.1452805,62.7810616,Warner
202,-75.0826,45.3168,Waywood
203,12.7425586,56.030318,Elgar
204,100.5219418,13.9210992,Nevada
205,-8.8886377,39.8474574,Di Loreto
206,14.4322399,46.1428433,Mcbride
207,5.3446343,60.3560649,Golf View
208,-73.330688,-14.82087,Amoth
209,-48.5027406,-27.593609,Paget
210,123.6274,-10.2183,Mockingbird
211,23.7484332,60.8061218,Canary
212,98.3459726,7.9122744,Valley Edge
213,33.5811995,-2.1678255,Trailsway
214,30.4461356,60.2474501,Cottonwood
215,22.096939,41.494692,Northland
216,90.908217,29.820745,Myrtle
217,6.8700255,52.7881505,Farwell
218,106.8357854,-6.1891552,Lien
219,101.48989,36.769677,Basil
220,-61.444406,15.444313,Division
221,115.217658,37.943121,Parkside
222,122.9437,-10.7964,Kenwood
223,22.7619237,39.8435737,Sullivan
224,112.424933,27.465141,Welch
225,124.1041803,9.7044463,Stuart
226,120.677011,36.139998,5th
227,3.6319131,6.8322014,Scoville
228,41.7631303,52.6738562,Marquette
229,123.89885,10.297315,Shasta
230,118.796877,32.060255,Ruskin
231,24.9353935,37.4498962,Annamark
232,113.459749,23.106401,Morrow
233,111.206475,41.28932,Dunning
234,-73.8394482,45.6181396,Loeprich
235,105.9611748,-6.3139863,Rutledge
236,-72.5558986,-12.6358928,Golf Course
237,110.6338382,-7.8307181,Main
238,67.41062,44.00947,Grayhawk
239,35.021481,32.28548,Bartelt
240,111.207071,31.293061,Springs
241,112.6079459,-8.074933,Marcy
242,13.0716999,50.4322664,Russell
243,112.896606,23.156045,Magdeline
244,-71.2106242,-32.7910792,Butternut
245,-87.1310668,12.7684177,Sycamore
246,-42.1644994,-4.8220831,Anhalt
247,113.217268,22.149009,Sugar
248,115.100568,29.256382,Prairie Rose
249,111.778818,37.146294,Atwood
250,-7.8200663,40.7363895,Manitowish
251,112.8007246,-7.9780918,Melvin
252,95.1536327,22.1215513,Loftsgordon
253,140.276147,-6.080007,Caliangt
254,117.323725,34.810487,Hooker
255,100.4340367,20.262817,Anderson
256,3.1845673,50.6930818,Northport
257,121.0191099,14.3958755,Starling
258,105.44174,28.871569,Atwood
259,84.4237855,55.2397021,Ridgeview
260,48.7739491,57.5637205,Cordelia
261,-83.8539514,9.8294983,Emmet
262,119.4015739,41.245445,Corry
263,36.4878241,4.9640933,Karstens
264,113.766805,26.438463,Carey
265,45.168817,43.336168,Logan
266,98.729681,3.541868,Bay
267,122.018799,47.233746,Sloan
268,-64.7486638,46.0952765,Village Green
269,-40.2884386,-7.740099,Sloan
270,112.9277,-6.9621,Jana
271,67.3086236,37.2610694,Gerald
272,21.2277415,41.0417485,Crownhardt
273,120.6999969,18.1166668,Little Fleur
274,-40.2509918,-15.2475119,Manitowish
275,59.6665153,42.1261418,Division
276,-8.6340751,52.6638144,Dovetail
277,36.11523,35.31025,Redwing
278,105.6823124,-5.3003056,Quincy
279,-68.1346594,-16.5030766,Bobwhite
280,107.5268471,11.5705176,Fulton
281,105.4536718,19.0511285,Blue Bill Park
282,-7.9185148,40.4709245,Oak Valley
283,39.8548496,57.2992579,Quincy
284,-99.0806088,19.3579802,Caliangt
285,-25.670123,37.751046,Annamark
286,-13.5841871,10.3674543,Larry
287,121.819,18.0506,Caliangt
288,112.00383,39.94191,International
289,120.9905117,14.295795,Eagle Crest
290,30.1775921,59.82941,Memorial
291,5.3185835,60.3882249,Gateway
292,113.5282081,-7.1274078,Melody
293,89.0445636,22.4217587,Bluestem
294,56.174166,57.737194,Spenser
295,37.9176675,55.9289331,Moose
296,123.1281781,9.0462197,Judy
297,31.162448,30.9781287,Sauthoff
298,19.150386,45.536587,Brentwood
299,12.4867883,43.9704382,Leroy
300,-7.4773543,41.7595825,Hanson
301,120.758848,37.810661,Trailsway
302,107.762268,31.904326,Declaration
303,85.800614,51.954075,Barby
304,100.6537593,-0.1869837,Starling
305,-1.5401497,47.2550409,Loeprich
306,107.62613,34.265637,Cordelia
307,120.5150706,15.0737251,Birchwood
308,-64.0106073,-36.5337379,West
309,16.8482236,48.8255395,Charing Cross
310,44.5841127,40.0179745,Summerview
311,49.0943433,32.3295438,Dovetail
312,-75.762586,-14.0874587,South
313,133.1395202,33.8941622,Summerview
314,91.140552,29.654838,Twin Pines
315,17.7836929,59.758523,Victoria
316,32.0477111,49.6617919,Vahlen
317,121.6397151,13.939297,Almo
318,-54.7412036,-25.6707073,Dapin
319,-76.2327036,-6.8054925,Eggendart
320,109.875933,33.759248,Oak
321,18.8985165,49.6308644,Lukken
322,19.7778549,50.2505714,Mifflin
323,27.7702053,42.2342735,Kings
324,108.093259,35.032891,Red Cloud
325,-78.9995154,-1.5904721,Sachtjen
326,121.0134482,14.5662555,Knutson
327,107.526896,31.260046,Hoffman
328,5.6840137,53.0353444,Nevada
329,115.260968,36.962883,Mariners Cove
330,108.5522531,-6.9375866,Steensland
331,31.8164031,1.2061176,Sloan
332,106.3438891,10.3765284,Lawn
333,-55.9145502,-27.3869255,Melvin
334,16.9953098,49.6354683,Spenser
335,-75.931004,4.2743779,Marquette
336,-2.9231898,48.0386685,Clemons
337,39.7419209,47.9560267,Hayes
338,121.109772,14.6912206,Caliangt
339,117.246625,39.10972,Jay
340,112.572018,26.893368,Monica
341,34.1661641,60.9116468,Bunting
342,-69.8627901,18.4849486,Kennedy
343,116.4041472,39.9666494,Corscot
344,107.3532717,-6.8292253,Basil
345,114.3103718,-8.0030419,Northfield
346,31.5227266,-8.2981893,Prentice
347,18.2354187,49.7291343,Coolidge
348,-7.9642644,41.4781837,Grayhawk
349,-8.2423289,37.832557,Surrey
350,-7.5598116,39.0038214,Glendale
351,45.95,-24.333333,Kensington
352,20.0971774,44.8766183,Lotheville
353,16.2620907,49.5474598,Crest Line
354,112.814502,22.122658,Bartelt
355,116.5079754,39.800607,Schlimgen
356,71.1537637,34.8742638,Homewood
357,113.810157,26.319938,Golf View
358,110.250123,21.377246,Brown
359,106.7045995,-6.2278972,Karstens
360,106.0253,-6.22625,Loftsgordon
361,-106.76792,52.33339,Killdeer
362,112.320499,28.926001,Meadow Valley
363,101.280205,27.928835,Waxwing
364,26.9591755,36.7445146,Burning Wood
365,101.273161,23.561556,Schlimgen
366,22.4674999,50.242123,Dunning
367,125.027158,10.9525339,Garrison
368,-67.0166725,10.3846169,Crest Line
369,22.7524961,48.6688151,Ryan
370,114.057865,22.543096,Loomis
371,119.597896,31.723247,Mallory
372,118.799497,41.21966,Park Meadow
373,40.2634504,62.2245877,Summerview
374,113.8138552,-7.9199459,Jenifer
375,33.0817144,35.1338673,Lerdahl
376,117.130129,25.732824,Hollow Ridge
377,119.7429815,5.0452657,Sullivan
378,16.0198605,50.5374971,Hoard
379,28.6688238,56.7113733,Oakridge
380,48.4631098,34.0375944,New Castle
381,-62.0399534,-16.131343,Mcguire
382,8.6600586,35.0809148,Northwestern
383,44.2289441,17.5656036,Lawn
384,108.133333,-7.633333,Vidon
385,119.64742,29.079175,Oxford
386,5.1175293,52.08234,Park Meadow
387,3.5033042,6.5959532,Jana
388,-75.6033497,6.1307505,Dawn
389,-74.464018,4.761738,Green Ridge
390,109.998621,29.322952,Emmet
391,28.5305764,62.7864915,Ridgeway
392,105.7563658,20.955835,Reinke
393,94.69116,30.976156,Homewood
394,-82.3695988,23.1351485,1st
395,-75.412672,10.334638,Harbort
396,-14.1959978,13.2375414,Pleasure
397,110.18122,22.654032,Valley Edge
398,121.1075051,14.2508238,Upham
399,24.4173321,37.3933984,Carey
400,35.074453,32.353463,Welch
401,32.8329917,51.1828188,School
402,109.412626,19.233277,Rowland
403,141.2405508,38.6002411,Grayhawk
404,7.540987,47.8215045,Logan
405,107.9512504,-7.3360763,Forest
406,100.7724281,48.7277622,Lotheville
407,115.070598,36.983696,Rieder
408,136.0369403,-4.0087147,Loftsgordon
409,118.337521,29.714699,Dryden
410,20.9108471,41.9100239,Kim
411,107.3109745,-6.9472168,Division
412,127.6825578,26.1853781,Katie
413,9.8216043,44.1034593,Pond
414,115.118091,26.97139,Texas
415,45.2504398,54.1456181,Gina
416,-75.239679,4.239304,Grasskamp
417,121.570383,29.866818,Service
418,11.6764538,58.3767785,Carberry
419,15.2838313,44.0731738,Drewry
420,107.9833112,-7.1684722,Quincy
421,20.477146,51.4506315,Oakridge
422,126.207415,8.417766,Merrick
423,108.7185184,-7.4141326,Schiller
424,1.997385,44.2874089,Corscot
425,56.4607919,24.7242467,Columbus
426,103.7983752,1.5484759,East
427,22.002802,40.1858788,Walton
428,-54.8265622,-29.8801552,Red Cloud
429,40.3495943,53.2109968,Summerview
430,14.0470364,50.0385516,Bartillon
431,108.0382475,12.6661944,Prairieview
432,38.9796562,55.7227702,Eagan
433,-105.4093552,20.8965838,Sherman
434,113.59762,24.810879,Weeping Birch
435,118.6154322,24.7204697,Hauk
436,5.8855505,44.346784,Carpenter
437,-76.6990172,2.481207,Manufacturers
438,-76.366667,-6.983333,Algoma
439,107.7147697,-6.9100633,Cordelia
440,21.9208543,36.8634887,Montana
441,65.7110972,57.0473862,Crowley
442,118.0771515,-8.68633,Clemons
443,109.878143,18.792633,Dayton
444,-68.4397551,9.8247812,Grim
445,104.195397,35.86166,Golf
446,115.0159,-8.4635,Lakewood
447,-73.9260044,45.0417524,Hayes
448,42.4853941,61.030613,Boyd
449,12.4495221,9.2485489,Arrowood
450,114.392392,36.097577,Pankratz
451,57.3779066,-20.2884188,Katie
452,130.553343,46.239185,Meadow Ridge
453,-81.5596427,25.9369686,Harbort
454,100.663597,0.93669,Oak
455,71.09863,34.91914,Towne
456,116.504048,39.8007621,Golf Course
457,-119.45237,49.03306,Quincy
458,121.0348405,14.6099284,Birchwood
459,85.874096,47.443101,Canary
460,-5.7434763,41.5044882,Cottonwood
461,106.457478,27.145704,Forest Dale
462,113.063143,25.280547,Randy
463,-7.9927714,41.5162209,Kensington
464,111.804777,27.951451,Southridge
465,-99.1227878,19.453837,Kings
466,42.9174509,43.3911349,Bultman
467,-75.2537397,39.9759847,Harper
468,81.239566,43.591386,Schurz
469,109.826069,-7.2171628,Grim
470,-86.7768273,36.0624707,Ronald Regan
471,113.810423,23.099153,Homewood
472,-84.38709,33.7654607,Schiller
473,16.9564844,51.6551687,Hudson
474,13.4504935,59.6117063,Commercial
475,23.4910916,37.9512175,Marquette
476,127.9382594,26.6182735,Armistice
477,21.01333,41.93167,Vera
478,6.1317337,49.6633939,Cody
479,96.779317,39.856317,Kings
480,113.3257,-8.1356,Talmadge
481,106.12575,21.4761084,Old Gate
482,28.0172665,-25.9248045,Fallview
483,20.0524105,41.0522859,Tennyson
484,120.9666672,6,Blackbird
485,-90.496159,14.5933217,Moose
486,109.983076,24.979855,Buell
487,20.065066,41.7186852,Arrowood
488,100.3161126,17.038735,Meadow Valley
489,41.756863,46.277611,Vernon
490,15.1855959,49.808516,Jana
491,139.4480166,35.4957441,Declaration
492,122.7973241,13.8185096,Mariners Cove
493,8.5528746,35.8904199,Fisk
494,121.0928711,14.6843598,Loomis
495,20.1900369,52.391799,Orin
496,-71.4091563,-14.1387292,Buena Vista
497,119.141473,28.074649,Sloan
498,105.6002024,22.1623468,Namekagon
499,44.0793911,2.7991084,Quincy
500,89.493117,28.615201,Fulton
501,21.959222,49.896245,Warrior
502,148.1452805,62.7810616,Maple Wood
503,117.032171,36.7821,Stang
504,40.0905465,47.3695152,Shopko
505,102.579531,17.8895907,Dunning
506,19.8982345,51.6113555,Luster
507,14.3818464,49.9313612,Cody
508,120.4557309,17.1056791,Loeprich
509,121.445448,31.213534,Corry
510,30.2992358,31.3052222,La Follette
511,-8.8186886,41.8415239,Annamark
512,113.994756,29.751072,Oak
513,18.3373855,49.7216794,Bultman
514,107.1573142,-6.633688,Bartillon
515,102.142511,34.481923,New Castle
516,47.0835378,60.3009074,Sunnyside
517,5.3446343,60.3560649,Chinook
518,-157.4903907,2.0385019,Cherokee
519,106.4729811,10.4452129,Reinke
520,83.2934086,28.3683182,Sugar
521,-9.1788304,11.4148113,Granby
522,100.24475,1.08142,Fulton
523,-68.2743064,9.9122584,Luster
524,-73.170822,-16.025181,Heffernan
525,12.7944645,58.1293824,Dunning
526,15.5089055,49.2063442,Merchant
527,-46.3092185,-19.0012649,Northport
528,119.329436,31.444052,Manufacturers
529,102.5527505,17.8064459,Autumn Leaf
530,99.923859,8.3373304,Del Mar
531,-65.7905325,-28.4481029,Westridge
532,27.8299056,53.5234017,Westport
533,121.749495,31.04808,Kinsman
534,112.5408991,-7.4200315,Carberry
535,107.526896,31.260046,Killdeer
536,58.84596,43.05207,Steensland
537,10.1367166,3.7953482,Anzinger
538,98.7150831,2.6378061,Derek
539,7.9797219,7.1809842,Sheridan
540,114.015532,38.407753,Muir
541,-8.6722459,41.4242264,Mockingbird
542,103.686294,30.304377,Kings
543,30.4386437,-17.0363653,Almo
544,-76.7798172,6.7810505,Hallows
545,16.1242534,45.9113179,Briar Crest
546,-47.4220818,-21.9896473,Prentice
547,-51.3429885,-18.7643566,Northridge
548,19.8423848,45.5119921,Hanson
549,-68.7259306,11.1626327,Westridge
550,30.0475103,63.4741556,Golf View
551,-46.4970116,-23.1770273,Warrior
552,114.69695,33.626149,Grim
553,23.7617382,37.9768245,Messerschmidt
554,-8.5821823,41.1296379,Manley
555,113.0284,-6.9322,Gale
556,-8.9107106,39.7383486,Darwin
557,123.7396635,13.1789151,Logan
558,-9.3069187,38.7157106,Mosinee
559,121.341969,30.741991,Bultman
560,110.451368,24.751346,Orin
561,91.016402,28.841329,Gerald
562,35.8363269,45.4451601,Delaware
563,35.29528,32.070084,Spohn
564,-69.1692951,-14.2576342,Haas
565,20.3174769,41.1829232,Maple Wood
566,28.8563795,48.6739771,Debra
567,119.761775,35.585575,Loeprich
568,50.0688474,57.8308498,East
569,-1.0514312,5.2023106,Bellgrove
570,100.737037,32.934565,Monument
571,116.158066,40.079784,Vera
572,-50.3069088,-27.604634,Myrtle
573,110.1317822,-7.5989183,Bluestem
574,122.2344795,7.0961815,Dottie
575,-119.45237,49.03306,Sycamore
576,23.5105576,49.2760303,Golden Leaf
577,-73.766129,3.991663,Quincy
578,22.4952072,65.855827,Bluejay
579,107.172085,-7.4212735,Pond
580,121.365123,28.582654,Goodland
581,105.291643,27.283955,Ryan
582,46.6966268,61.2370214,Killdeer
583,40.2145002,61.6724707,Veith
584,-16.9417632,32.6480275,Lunder
585,6.5303102,6.1816141,Almo
586,102.7939759,14.6640154,Northview
587,-63.0471371,18.0295839,Ludington
588,106.0023054,-6.2152002,Lotheville
589,-74.961495,10.323959,Miller
590,113.3859,-6.9924,Waubesa
591,120.6583327,16.0001974,Briar Crest
592,105.1990045,-5.1734862,Continental
593,118.644299,39.586554,Springview
594,80.2153998,6.0481918,Kim
595,-83.54,41.64,Alpine
596,111.1682495,-6.6664588,Bashford
597,8.538367,47.376817,New Castle
598,13.2923232,4.9224556,Bartelt
599,-111.99,40.7,Tony
600,114.5356247,48.0951271,Swallow
601,21.6149393,51.8971987,Parkside
602,121.022408,14.6639812,Mayer
603,18.3894128,49.8309961,Quincy
604,29.5774616,-2.4706347,Sheridan
605,111.046,-6.7618,Grayhawk
606,89.3701078,24.8435589,Eagle Crest
607,23.2587992,-14.4076036,Maple
608,113.73422,-7.04486,Hoffman
609,-68.5634682,10.1558257,Gulseth
610,19.4883692,51.167963,Kensington
611,112.378894,40.761653,Cottonwood
612,19.9437314,40.7086377,Wayridge
613,124.4870869,6.0593972,Ruskin
614,125.6478189,-9.0020538,Kings
615,34.2810541,-12.9316863,Fulton
616,27.8338499,54.4225141,Raven
617,32.7362252,59.9506531,Lerdahl
618,-87.6568799,14.279014,Montana
619,-73.36585,45.08338,Summit
620,-47.368765,-23.0432476,Packers
621,111.6198661,-6.7050629,Bartillon
622,-49.1743626,-26.7376205,Westridge
623,68.3670494,40.8955806,Northridge
624,104.627636,30.128901,Bluejay
625,120.772494,30.044164,Fisk
626,13.0544185,9.9004655,Burning Wood
627,24.802714,40.981773,Warbler
628,13.2894368,-8.8399876,Glacier Hill
629,-41.0484428,-21.6368446,Dexter
630,117.365052,25.941937,Lakewood
631,35.33345,32.97746,Golf View
632,-75.275171,10.444021,La Follette
633,92.368911,30.662051,Canary
634,110.6527,26.042443,Havey
635,106.809489,24.686644,Barby
636,60.5063547,55.6246827,Badeau
637,37.5454589,36.1722416,Talmadge
638,18.8632124,52.1899235,Red Cloud
639,-7.2170293,41.0672146,Pearson
640,120.4936932,15.9385737,Cordelia
641,120.5307881,0.7821696,Clyde Gallagher
642,23.4486395,38.4791344,Dayton
643,15.196697,60.1536833,Sachs
644,23.1251092,43.2370452,Longview
645,65.628237,62.5465831,Elmside
646,12.5444055,55.6780762,Grasskamp
647,-57.776161,-17.80257,Thompson
648,-46.8422385,-23.006144,Daystar
649,-149.3081197,-17.6809984,Columbus
650,23.3517478,52.5139674,Elmside
651,8.3073813,50.7218455,Thackeray
652,95.5066242,18.4931618,Mccormick
653,115.182134,23.63841,Prairie Rose
654,116.260921,40.039342,Dawn
655,-74.9438915,10.9819737,Bluejay
656,52.9958953,56.5614229,Transport
657,15.0249601,50.9666323,South
658,17.7192104,43.1097139,Kings
659,113.8911914,-8.1022828,Drewry
660,109.327018,41.326318,Weeping Birch
661,111.439528,36.457599,Monica
662,112.358062,-7.504714,Summerview
663,124.7798258,8.7504833,Del Mar
664,3.9470396,7.3775355,Stone Corner
665,35.303546,32.699635,Hermina
666,-61.7487996,12.0560975,Division
667,30.4896784,60.3428116,Talmadge
668,14.0180996,50.1269792,Lukken
669,123.2812562,-8.2837447,Fairview
670,117.419998,25.290184,Knutson
671,107.6984879,14.7043324,Village Green
672,106.653158,35.218292,Loftsgordon
673,115.2096864,-8.6738819,Morrow
674,130.6358305,32.968121,Lakewood
675,116.416357,39.928353,Sachtjen
676,107.36884,34.472679,Carey
677,20.6717224,52.4402961,Eliot
678,124.1228,48.8602,Shoshone
679,40.6005314,44.9921453,Warner
680,110.464464,28.998299,Monterey
681,118.892085,31.32847,Lakewood
682,-8.6380475,40.6394384,Florence
683,123.3996176,9.8769686,Clemons
684,105.5230659,32.2875125,Becker
685,53.4284076,27.8827043,Pawling
686,102.0032957,12.647214,Amoth
687,121.010151,14.6425547,Lakewood Gardens
688,22.0309456,43.2270564,Manufacturers
689,-50.1626664,-27.574998,Darwin
690,-113.41857,49.71671,Helena
691,-99.1324282,19.5037694,Prairie Rose
692,106.7441048,-6.5504395,Spohn
693,35.225489,32.703801,Bluejay
694,107.8361732,-7.0186412,Vahlen
695,125.8192698,7.4175054,Fremont
696,3.556485,46.349041,Nobel
697,-68.1435063,47.0203676,Pine View
698,54.5367341,54.5815949,Garrison
699,133.0448635,42.9285549,Scott
700,110.6794676,-7.8136774,American
701,5.8827648,49.7314687,Dottie
702,4.7270746,52.6435136,Farragut
703,37.6076437,55.1653099,Red Cloud
704,-62.0458106,9.0691769,Express
705,109.167435,35.119385,Hanson
706,140.4108333,8.1333333,Sommers
707,-40.2509918,-15.2475119,Clyde Gallagher
708,20.7477906,45.1099868,Prentice
709,-54.4801558,-27.8706817,Loeprich
710,128.281906,0.400097,Del Sol
711,15.2702996,50.3308509,Aberg
712,101.756785,36.627577,Sunbrook
713,100.647812,13.8038957,Badeau
714,123.3262483,10.335192,Golf
715,-78.948623,-4.0620941,Mallard
716,-70.4047314,18.9337202,Laurel
717,12.1438774,57.9642094,Karstens
718,-86.6736997,14.6322366,Bartillon
719,89.8984508,22.9073374,East
720,24.3031958,40.8385582,Hoepker
721,70.8264733,50.8476148,Morningstar
722,120.008307,36.077544,Rigney
723,121.0331004,14.4783119,Moland
724,129.1142915,37.5247192,Scoville
725,116.3958807,39.9416682,Crest Line
726,106.3869,-6.6224,Browning
727,30.1044288,-1.9705786,Golf Course
728,12.2573683,57.0973349,Nancy
729,20.6527992,42.3998287,Elmside
730,-5.24798,34.94873,Blackbird
731,15.1188883,50.1424249,Eastwood
732,106.1713267,-6.2624908,Glacier Hill
733,118.45146,35.556017,Warbler
734,100.620031,36.284107,Haas
735,112.542,-2.576499,Melby
736,-83.66,32.75,Dennis
737,128.29333,41.09028,Ilene
738,29.35628,-28.733291,Bartelt
739,-9.2518104,38.7777943,Rowland
